variable_name,original_name,description,category,unit,value_range_or_categories,source_id,source_year,spatial_unit,join_id,derivation_formula,missing_value_rule,missing_rate_pct,status,notes
tract_id,sec / I01-I05,12 位稳定普查统计区编码（连接键）,identifier,code,12-digit string,cpv2022_sector_csv,2022,census sector,tract_id,"zfill(prov,2)||zfill(canton,2)||zfill(parroquia,2)||zfill(zona,3)||zfill(sector,3)","not applicable (key, never missing)",0.0,available,全流程唯一连接键；字符串保前导零；同城内唯一。
source_tract_id,sec_anm,官方原始匿名 sector 编码（=tract_id）,identifier,code,12-digit string,cpv2022_sector_boundaries,2022,census sector,tract_id,"original INEC sec_anm code, retained verbatim",not applicable,0.0,available,官方原始匿名编码，与 tract_id 相同，保留以备追溯。
country_iso3,constant,国家 ISO3 代码,identifier,code,ECU,student standardization,2022,census sector,tract_id,constant 'ECU',not applicable,0.0,available,常量。
country_name,constant,国家名称,identifier,text,Ecuador,student standardization,2022,census sector,tract_id,constant 'Ecuador',not applicable,0.0,available,常量。
city_id,canton,城市（cantón）代码,identifier,code,0101/0901/1701,cpv2022_sector_boundaries,2022,census sector,tract_id,first 4 digits of tract_id,not applicable,0.0,available,cantón 代码，取自 tract_id 前 4 位。
city_name,nom_can,城市名称,identifier,text,Cuenca/Guayaquil/Quito,cpv2022_sector_boundaries,2022,census sector,tract_id,canton name from boundary,not applicable,0.0,available,来自边界属性 nom_can。
tract_like_unit,constant,tract-like 单元性质,identifier,text,census sector (sector censal),student standardization,2022,census sector,tract_id,constant,not applicable,0.0,available,统计/枚举单元，非行政区。
boundary_year,constant,边界（几何）参考年份,identifier,year,2022,cpv2022_sector_boundaries,2022,census sector,tract_id,constant 2022,not applicable,0.0,available,几何参考年份 2022。
area_km2,geometry,统计区多边形面积,geography,km2,>0,cpv2022_sector_boundaries,2022,census sector,tract_id,"polygon area computed in EPSG:32717 (UTM 17S, metres), /1e6",not applicable,0.0,available,在 EPSG:32717 投影下计算，非经纬度。
pop_total,CPV person records,总人口（常住/事实居民）,population,persons,>=0,cpv2022_sector_csv,2022,census sector,tract_id,count of person records per sector,blank if suppressed/missing (not 0),0.0,available,城市总量与官方对照见 quality_summary/README。
pop_density_per_km2,derived,人口密度,population,persons per km2,>=0,cpv2022_sector_csv,2022,census sector,tract_id,pop_total / area_km2,blank if area/pop missing,0.0,derived,派生指标，公式见 derivation_formula。
female_ratio,CPV person records,女性人口占比,population,ratio,0-1,cpv2022_sector_csv,2022,census sector,tract_id,female_persons / persons_with_reported_sex,blank if denom=0,0.0376,available,分母=已报告性别人口。
